0 0.000 158.068 0.000 -1498.561 0.000 111.099 -1387.462 14.955  3504 0.000 28.560 1
10000 0.388 156.486 0.000 -1266.399 0.000 91.061 -1175.338 103.796  3320 0.000 29.114 1
20000 0.389 158.358 0.000 -1249.092 0.000 88.984 -1160.108 119.598  3244 0.000 29.194 1
30000 0.388 157.994 0.000 -1222.579 0.000 81.456 -1141.123 111.578  3212 0.000 29.416 1
40000 0.388 158.226 0.000 -1224.676 0.000 83.850 -1140.826 96.675  3270 0.000 29.575 1
50000 0.388 158.154 0.000 -1208.476 0.000 81.618 -1126.859 116.841  3210 0.000 29.644 1
60000 0.388 157.063 0.000 -1205.433 0.000 73.245 -1132.187 124.968  3184 0.000 29.654 1
70000 0.389 158.101 0.000 -1205.748 0.000 74.492 -1131.256 115.939  3194 0.000 29.749 1
80000 0.388 158.129 0.000 -1194.946 0.000 70.992 -1123.953 125.224  3192 0.000 29.798 1
90000 0.387 156.017 0.000 -1210.437 0.000 77.265 -1133.171 105.883  3214 0.000 29.682 1
100000 0.387 155.671 0.000 -1210.370 0.000 67.990 -1142.381 121.508  3236 0.000 29.655 1
0 0.000 68.117 4.378 -1214.861 0.000 67.857 -1147.003 119.218  3240 0.000 29.655 0
10000 0.386 68.117 4.378 -1198.066 0.000 77.186 -1120.880 123.817  3172 0.005 29.654 0
20000 0.387 68.117 4.378 -1213.949 0.000 84.956 -1128.992 99.712  3204 0.010 29.494 0
30000 0.387 68.117 4.378 -1196.572 0.000 76.838 -1119.734 110.691  3198 0.015 29.668 0
40000 0.387 68.117 4.379 -1210.388 0.000 84.262 -1126.127 127.386  3198 0.020 29.511 0
50000 0.386 68.117 4.379 -1214.520 0.000 77.483 -1137.037 126.034  3214 0.025 29.517 0
60000 0.386 68.117 4.379 -1200.011 0.000 76.727 -1123.283 114.846  3196 0.030 29.377 0
70000 0.387 68.117 4.379 -1203.723 0.000 77.683 -1126.040 106.910  3154 0.035 29.272 0
80000 0.387 68.117 4.380 -1201.032 0.000 76.616 -1124.416 113.988  3178 0.040 29.170 0
90000 0.388 68.117 4.380 -1197.254 0.000 86.511 -1110.743 109.585  3146 0.045 29.164 0
100000 0.387 68.117 4.380 -1182.747 0.000 80.800 -1101.947 132.931  3156 0.050 29.387 0
110000 0.387 68.117 4.380 -1182.641 0.000 80.815 -1101.826 113.001  3148 0.055 29.310 0
120000 0.386 68.117 4.381 -1201.930 0.000 73.490 -1128.440 115.413  3164 0.060 29.401 0
130000 0.387 68.117 4.381 -1184.119 0.000 74.749 -1109.370 117.579  3122 0.065 29.522 0
140000 0.387 68.117 4.381 -1181.206 0.000 82.786 -1098.420 101.194  3120 0.070 29.386 0
150000 0.387 68.117 4.381 -1207.761 0.000 78.990 -1128.771 116.665  3180 0.075 29.579 0
160000 0.387 68.117 4.382 -1192.719 0.000 74.424 -1118.296 128.435  3158 0.080 29.646 0
170000 0.387 68.117 4.382 -1197.835 0.000 71.868 -1125.967 113.886  3116 0.085 29.639 0
180000 0.388 68.117 4.382 -1197.962 0.000 75.229 -1122.733 112.794  3142 0.090 29.666 0
190000 0.387 68.117 4.382 -1211.502 0.000 72.054 -1139.448 118.977  3164 0.095 29.844 0
200000 0.386 68.117 4.383 -1180.287 0.000 74.972 -1105.315 122.595  3116 0.100 29.702 0
210000 0.388 68.117 4.383 -1194.979 0.000 71.632 -1123.347 103.046  3198 0.105 29.663 0
220000 0.387 68.117 4.383 -1198.367 0.000 70.747 -1127.619 113.873  3220 0.110 29.803 0
230000 0.387 68.117 4.383 -1193.612 0.000 74.386 -1119.226 117.146  3174 0.115 29.922 0
240000 0.387 68.117 4.384 -1203.827 0.000 71.931 -1131.896 108.014  3180 0.120 29.968 0
250000 0.387 68.117 4.384 -1205.339 0.000 71.878 -1133.461 106.414  3140 0.125 30.075 0
260000 0.387 68.117 4.384 -1189.451 0.000 75.229 -1114.222 103.867  3126 0.130 30.108 0
270000 0.387 68.117 4.384 -1183.734 0.000 71.353 -1112.381 113.702  3178 0.135 30.211 0
280000 0.387 68.117 4.385 -1170.608 0.000 70.325 -1100.283 118.198  3132 0.140 30.168 0
290000 0.387 68.117 4.385 -1165.353 0.000 69.646 -1095.707 118.961  3102 0.145 30.326 0
300000 0.388 68.117 4.385 -1178.906 0.000 67.824 -1111.083 133.430  3116 0.150 30.374 0
310000 0.387 68.117 4.385 -1175.533 0.000 77.948 -1097.585 126.758  3102 0.155 30.452 0
320000 0.386 68.117 4.386 -1174.368 0.000 66.176 -1108.192 106.318  3114 0.160 30.551 0
330000 0.386 68.117 4.386 -1165.958 0.000 70.389 -1095.569 116.877  3130 0.165 30.533 0
340000 0.387 68.117 4.386 -1187.644 0.000 66.021 -1121.624 121.137  3124 0.170 30.480 0
350000 0.386 68.117 4.386 -1198.281 0.000 74.259 -1124.023 102.476  3192 0.175 30.474 0
360000 0.388 68.117 4.387 -1181.392 0.000 69.226 -1112.167 101.028  3150 0.180 30.385 0
370000 0.387 68.117 4.387 -1182.879 0.000 70.806 -1112.073 125.108  3112 0.185 30.180 0
380000 0.387 68.117 4.387 -1160.986 0.000 71.705 -1089.281 115.994  3050 0.190 30.227 0
390000 0.387 68.117 4.387 -1175.084 0.000 78.932 -1096.152 104.526  3064 0.195 30.154 0
400000 0.387 68.117 4.388 -1182.687 0.000 77.967 -1104.720 102.410  3046 0.200 30.251 0
410000 0.387 68.117 4.388 -1190.333 0.000 75.445 -1114.888 105.604  3136 0.205 30.271 0
420000 0.387 68.117 4.388 -1175.517 0.000 69.367 -1106.151 105.432  3042 0.210 30.275 0
430000 0.388 68.117 4.388 -1219.322 0.000 68.081 -1151.242 114.822  3152 0.215 30.332 0
440000 0.387 68.117 4.389 -1238.357 0.000 73.660 -1164.696 136.948  3220 0.220 30.437 0
450000 0.388 68.117 4.389 -1189.298 0.000 71.370 -1117.928 120.685  3128 0.225 30.412 0
460000 0.387 68.117 4.389 -1202.858 0.000 76.656 -1126.202 127.746  3196 0.230 30.458 0
470000 0.387 68.117 4.389 -1191.318 0.000 69.650 -1121.668 108.185  3164 0.235 30.360 0
480000 0.387 68.117 4.390 -1176.905 0.000 71.574 -1105.331 115.113  3140 0.240 30.351 0
490000 0.388 68.117 4.390 -1204.875 0.000 68.977 -1135.897 108.605  3160 0.245 30.216 0
500000 0.387 68.117 4.390 -1196.882 0.000 82.693 -1114.189 115.021  3172 0.250 30.270 0
510000 0.387 68.117 4.390 -1200.820 0.000 76.471 -1124.349 115.594  3138 0.255 30.510 0
520000 0.386 68.117 4.391 -1192.235 0.000 72.717 -1119.518 116.815  3142 0.260 30.501 0
530000 0.387 68.117 4.391 -1164.213 0.000 78.308 -1085.905 115.856  3144 0.265 30.473 0
540000 0.386 68.117 4.391 -1178.045 0.000 68.994 -1109.051 116.252  3128 0.270 30.505 0
550000 0.387 68.117 4.391 -1185.924 0.000 79.788 -1106.136 131.672  3136 0.275 30.430 0
